# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	1.4	6.8
2	1.5	6.7
3	1.7	6.7
4	1.7	6.6
5	1.7	6.6
6	1.8	6.5
7	1.8	6.5
8	2.7	6.5
9	2.6	6.4
10	2.3	6.4
11	2.1	6.3
12	1.8	6.2
13	1.7	6.2
14	1.6	6.1
15	1.6	6.1
16	1.7	6.1
17	1.8	6.1
18	2.0	6.0
19	2.1	6.0
20	2.3	6.0
21	2.4	6.0
22	2.5	5.9
23	2.7	5.9
24	2.8	5.9
25	2.2	5.9
26	2.5	5.9
27	2.8	5.9
28	2.9	5.9
29	3.1	5.9
30	3.3	5.9
31	3.4	5.9
32	4.4	5.9
33	4.4	5.8
34	4.0	5.8
35	3.7	5.8
36	3.4	5.8
37	3.2	5.8
38	3.1	5.8
39	3.1	5.8
40	3.3	5.8
41	3.5	5.8
42	3.7	5.8
43	3.8	5.8
44	3.9	5.8
45	4.0	5.7
46	4.1	5.7
47	4.2	5.7
48	4.3	5.7
49	3.4	5.7
50	3.4	5.7
51	3.3	5.7
52	3.3	5.6
53	3.3	5.6
54	3.2	5.6
55	3.2	5.6
56	4.1	5.6
57	4.0	5.6
58	3.7	5.6
59	3.4	5.6
60	3.2	5.6
61	3.0	5.6
62	2.9	5.6
63	2.9	5.6
64	3.0	5.6
65	3.2	5.6
66	3.3	5.6
67	3.3	5.6
68	3.4	5.6
69	3.4	5.5
70	3.5	5.5
71	3.5	5.5
72	3.5	5.5
73	2.8	5.5
74	2.9	5.5
75	3.0	5.5
76	3.1	5.5
77	3.1	5.5
78	3.2	5.5
79	3.2	5.5
80	4.1	5.5
81	4.1	5.5
82	4.0	5.5
83	3.9	5.4
84	3.9	5.4
85	3.8	5.4
86	3.8	5.4
87	3.8	5.4
88	3.9	5.4
89	4.0	5.4
90	4.0	5.4
91	4.1	5.4
92	4.1	5.4
93	4.2	5.4
94	4.2	5.4
95	4.3	5.3
96	4.4	5.3
97	3.5	5.3
98	3.5	5.3
99	3.5	5.3
100	3.5	5.3
101	3.5	5.3
102	3.5	5.3
103	3.5	5.3
104	4.4	5.3
105	4.3	5.3
106	4.2	5.3
107	4.0	5.3
108	3.8	5.3
109	3.8	5.3
110	3.7	5.3
111	3.7	5.3
112	3.7	5.2
113	3.8	5.2
114	3.9	5.2
115	4.0	5.2
116	4.0	5.2
117	4.1	5.2
118	4.2	5.2
119	4.2	5.2
120	4.4	5.2
121	3.5	5.2
122	3.6	5.2
123	3.7	5.2
124	3.8	5.2
125	3.8	5.2
126	3.9	5.2
127	3.9	5.2
128	4.8	5.2
129	4.8	5.2
130	4.7	5.2
131	4.6	5.2
132	4.5	5.2
133	4.4	5.2
134	4.4	5.2
135	4.4	5.2
136	4.4	5.2
137	4.6	5.2
138	4.6	5.2
139	4.7	5.2
140	4.7	5.2
141	4.8	5.2
142	4.8	5.1
143	4.9	5.1
144	4.9	5.1
145	4.1	5.1
146	4.1	5.1
147	4.1	5.1
148	4.1	5.1
149	4.1	5.1
150	4.1	5.1
151	4.1	5.1
152	5.0	5.1
153	4.9	5.1
154	4.5	5.1
155	4.1	5.1
156	3.8	5.1
157	3.6	5.1
158	3.4	5.1
159	3.5	5.1
160	3.6	5.1
161	3.9	5.1
162	3.9	5.1
163	4.0	5.1
164	4.1	5.1
165	4.1	5.1
166	4.2	5.1
167	4.3	5.1
168	4.3	5.1
169	3.6	5.1
170	3.7	5.1
171	3.8	5.1
172	3.9	5.0
173	3.9	5.0
174	4.0	5.0
175	4.0	5.0
176	4.9	5.0
177	4.9	5.0
178	4.8	5.0
179	4.7	5.0
180	4.7	5.0
181	4.7	5.0
182	4.6	5.0
183	4.5	5.0
184	4.4	5.0
185	4.6	5.0
186	4.6	5.0
187	4.7	5.0
188	4.8	5.0
189	4.9	5.0
190	4.9	5.0
191	5.0	5.0
192	5.1	5.0
193	4.3	5.0
194	4.3	5.0
195	4.4	5.0
196	4.4	5.0
197	4.4	5.0
198	4.5	5.0
199	4.5	5.0
200	5.3	5.0
201	5.3	5.0
202	5.2	5.0
203	5.0	5.0
204	4.9	5.0
205	4.8	5.0
206	4.8	5.0
207	4.7	5.0
208	4.8	5.0
209	4.9	5.0
210	5.0	5.0
211	5.0	5.0
212	5.0	5.0
213	5.0	5.0
214	5.0	5.0
215	5.1	5.0
216	5.1	5.0
217	4.3	5.0
218	4.3	4.9
